X ,Y,facies,porosity,permeability,acoustic_impedance
565,1485,1,0.1184,6.17,2.009
2585,1185,1,0.1566,6.275,2.864
2065,2865,2,0.192,92.297,3.524
3575,2655,1,0.1621,9.048,2.157
1835,35,1,0.1766,7.123,3.979
3375,2525,1,0.1239,1.468,2.337
2295,1325,1,0.179,31.933,3.491
3715,3045,2,0.1914,116.781,2.187
2865,2215,1,0.1763,3.003,2.048
55,1545,1,0.1674,5.213,2.251
2125,1105,1,0.1369,3.693,3.627
565,195,1,0.1095,0.2627,2.86
3475,1035,1,0.1677,9.914,2.742
545,3765,1,0.1817,14.311,3.045
2765,925,1,0.119,0.7731,2.323
1385,2415,2,0.1774,22.578,2.711
2965,2605,2,0.1418,18.743,2.583
245,3765,1,0.1296,9.092,3.801
1895,2325,2,0.1325,0.4642,3.771
2485,3525,1,0.1729,146.319,2.341
3685,515,1,0.08494,0.06073,3.872
2835,505,1,0.188,31.181,2.316
855,225,1,0.1147,1.432,3.081
3665,2685,1,0.1795,76.298,2.175
2625,3185,1,0.1981,124.222,2.451
165,2515,1,0.1258,3.523,3.173
1785,3145,2,0.215,201.363,2.877
745,3485,1,0.1781,3.254,2.484
1975,1445,1,0.1428,11.283,3.697
2085,1215,2,0.1495,3.227,3.801
3035,745,1,0.1435,1.504,2.221
1145,1245,1,0.1026,0.08758,2.533
585,2355,1,0.1772,28.663,2.859
2405,2005,2,0.19,5.153,2.761
2125,1515,2,0.1597,5.219,3.796
2235,2565,2,0.1453,15.9,3.89
165,2895,1,0.1653,15.528,2.789
1775,1175,1,0.176,10.832,3.734
3505,1525,2,0.2232,174.654,3.344
3375,1565,1,0.1336,1.73,2.944
2485,3925,1,0.1819,20.725,2.35
1975,3505,2,0.1591,5.24,2.308
2965,595,2,0.1328,1.521,2.537
1785,1045,1,0.1517,2.766,3.562
1045,255,1,0.1061,0.173,3.275
3345,565,1,0.08187,0.3709,3.008
2825,2255,2,0.1682,8.78,2.166
3555,1025,1,0.1367,1.408,2.972
865,1605,1,0.1628,19.452,2.015
945,1205,1,0.1305,1.226,2.072
1755,85,2,0.1097,0.7976,3.943
1655,2985,2,0.2062,17.585,3.444
2825,2055,2,0.168,12.08,2.03
3355,2305,1,0.1663,4.667,2.054
2005,3775,1,0.1231,1.961,2.083
1815,3345,2,0.1965,199.952,2.747
1005,1275,1,0.1292,0.8418,2.264
155,3735,1,0.1347,0.2424,3.911
1265,2735,2,0.1481,0.1702,2.814
3415,3805,2,0.1523,3.942,3.49
2615,1025,1,0.1388,1.491,2.383
2755,1655,2,0.1574,5.232,2.619
2315,3125,2,0.1769,4.867,2.985
845,3915,1,0.1982,410.57,2.781
2035,2395,2,0.161,5.438,3.984
375,405,1,0.1584,7.227,3.213
1215,1915,1,0.1594,0.979,3.614
415,3395,1,0.1146,1.097,3.114
