WellIndex,Por,LogPerm,AI,Brittle,TOC,VR,Production
1,15.91,1.67,3.06,14.05,1.36,1.85,177.381958
2,15.34,1.65,2.60,31.88,1.37,1.79,1479.767778
3,20.45,2.02,3.13,63.67,1.79,2.53,4421.221583
4,11.95,1.14,3.90,58.81,0.40,2.03,1488.317629
5,19.53,1.83,2.57,43.75,1.40,2.11,5261.094919
6,19.47,2.04,2.73,54.37,1.42,2.12,5497.005506
7,12.70,1.30,3.70,43.03,0.45,1.95,1784.266285
8,14.15,1.23,2.53,39.43,0.79,1.54,1943.639213
9,16.18,1.34,3.45,45.79,0.56,1.95,3176.523611
10,20.51,2.48,2.78,28.99,1.78,2.24,2522.792318
11,12.25,1.20,3.64,64.08,0.81,2.44,1215.676438
12,11.59,1.06,3.33,59.32,0.24,1.91,1364.885428
13,18.18,2.02,2.85,24.81,1.17,1.84,1100.000817
14,12.10,1.42,4.10,63.71,0.09,2.12,1166.029442
15,14.68,1.47,2.21,46.02,1.27,1.67,2717.328863
16,9.23,0.81,2.85,69.48,0.69,1.87,511.6087695
17,14.00,1.65,3.83,57.35,1.12,2.32,2249.128389
18,10.24,0.88,2.96,30.03,0.43,1.48,555.8489343
19,15.74,1.20,2.78,40.00,1.49,2.25,2630.724009
20,13.29,1.15,3.04,93.47,0.30,1.94,28.42357329
21,16.57,1.85,2.52,32.16,1.43,1.78,1822.997389
22,17.05,1.69,3.64,47.87,1.17,2.34,3907.976463
23,15.97,1.37,2.88,69.75,0.90,1.81,1350.341147
24,16.37,1.34,2.67,48.01,1.28,2.16,3545.451691
25,10.52,1.07,4.31,39.33,0.13,2.18,1092.833803
26,10.84,0.58,2.64,44.30,0.41,1.41,1386.661653
27,11.72,1.17,3.87,51.55,0.71,2.39,1750.080154
28,11.54,1.10,4.47,37.78,0.67,2.51,1213.281884
29,13.92,1.45,3.54,55.46,0.62,1.89,2252.847709
30,17.02,1.92,3.08,41.88,1.26,2.06,3426.72069
31,16.33,1.50,1.85,26.94,1.44,1.18,1072.505415
32,16.55,1.63,2.99,50.06,0.88,1.68,3597.238553
33,15.39,1.47,3.27,39.65,0.84,2.01,2365.930235
34,13.64,1.38,3.01,50.78,0.86,2.12,2350.805045
35,12.77,1.62,2.77,26.30,1.73,2.01,617.0719968
36,16.75,1.81,2.99,52.38,0.66,1.77,3613.273523
37,13.13,0.92,3.76,30.93,0.67,2.18,928.2848776
38,20.67,1.95,3.16,46.83,2.44,2.82,7141.265029
39,20.11,1.72,2.83,27.93,1.53,2.10,2062.783229
40,9.70,1.13,3.32,46.81,0.44,1.98,1261.443836
41,13.48,1.48,2.90,55.11,0.61,1.82,2135.69704
42,17.47,1.58,2.84,49.93,2.13,2.30,4482.698752
43,14.21,1.51,3.74,68.15,0.74,2.34,1195.5227
44,11.68,0.96,3.87,43.81,0.64,2.09,1584.915142
45,18.12,1.57,2.92,59.13,1.35,2.24,3841.64321
46,15.88,1.66,3.41,57.20,0.68,2.06,2862.10162
47,13.84,1.23,3.07,38.37,1.33,2.22,1829.05814
48,15.10,1.46,3.32,84.17,0.97,2.22,203.1434107
49,13.97,1.06,3.28,52.06,0.95,1.97,2435.143521
50,14.39,1.18,3.04,25.38,1.45,1.99,679.3660304
51,21.00,1.94,2.32,58.72,1.14,1.84,5870.549942
52,15.79,1.31,2.18,54.50,0.93,1.41,3064.860477
53,10.66,1.30,3.68,68.09,1.38,2.52,753.2658793
54,15.53,1.19,1.92,44.57,1.10,1.48,2915.495228
55,13.49,1.38,2.56,52.76,1.42,2.01,2355.165207
56,11.80,1.16,3.43,93.39,0.25,1.90,23.27379484
57,10.10,0.36,3.60,38.75,0.08,1.89,977.1241751
58,12.89,1.12,2.96,43.09,0.71,1.90,1862.412859
59,15.94,1.26,2.65,31.60,1.76,2.02,1602.512677
60,18.79,1.88,3.35,36.03,1.73,2.24,3394.83831
61,14.80,1.57,3.93,57.05,0.31,2.32,2396.736054
62,12.38,0.79,3.96,78.95,0.19,2.27,271.5543005
63,10.27,0.79,3.33,49.05,0.73,2.25,1414.64051
64,14.22,0.99,2.66,29.89,1.16,2.02,1024.964113
65,14.76,1.09,3.07,48.28,0.34,1.81,2620.978391
66,12.77,0.98,3.75,55.11,0.41,2.36,1876.074031
67,12.94,1.32,3.94,57.12,0.39,2.21,1830.195003
68,17.72,1.66,1.39,36.25,2.15,1.93,3022.514331
69,13.66,0.64,3.20,61.53,0.60,2.12,1672.257011
70,12.87,0.89,2.72,52.21,0.64,1.81,2024.243018
71,14.60,1.28,3.29,55.24,0.80,2.24,2516.231896
72,15.64,1.26,3.25,51.26,0.98,2.30,3135.019039
73,14.92,1.83,2.80,49.06,1.00,1.78,2887.052155
74,16.39,1.25,2.59,54.21,1.75,2.30,3555.742737
75,14.09,1.15,2.95,45.10,0.93,1.91,2373.247992
76,13.60,1.34,2.72,65.56,0.80,1.84,1337.161679
77,13.41,1.68,3.25,61.06,0.49,1.77,1692.362778
78,17.18,1.36,2.95,60.23,1.89,2.46,3303.177594
79,13.49,0.85,2.57,38.37,1.24,2.06,1711.01725
80,18.49,1.68,2.93,30.18,1.13,2.07,1973.661172
81,13.46,1.17,2.92,56.97,0.89,1.97,2045.667047
82,20.52,1.64,2.36,30.58,2.14,2.31,2932.566097
83,15.96,1.64,3.24,58.07,1.22,2.22,2922.134713
84,16.69,1.46,3.09,64.31,1.20,2.17,2339.460352
85,20.25,2.47,2.51,34.93,1.04,1.67,3760.126283
86,18.80,2.31,2.57,51.96,1.63,2.09,5293.169249
87,20.23,1.68,2.17,60.08,1.81,2.16,5164.078629
88,16.80,1.49,2.94,33.29,1.38,2.15,2030.685607
89,16.59,1.54,2.56,33.49,1.18,1.84,1977.577029
90,16.34,1.55,3.10,49.21,1.01,1.95,3510.127171
91,17.41,1.28,2.90,20.37,1.43,2.12,562.7536605
92,17.04,1.76,3.04,51.72,0.79,2.08,3820.902194
93,14.17,1.62,2.33,76.95,0.94,2.00,489.2412341
94,10.88,0.98,3.40,67.99,0.60,2.01,735.2219765
95,13.92,1.10,2.48,32.28,0.80,1.53,1179.765544
96,13.45,1.35,3.37,77.02,0.46,2.03,418.7773612
97,18.03,1.97,2.43,59.24,1.65,1.67,3903.963034
98,16.53,1.46,2.09,56.93,1.12,1.95,3254.612211
99,12.26,0.67,2.76,69.90,0.37,1.78,739.7280834
100,12.85,1.11,4.50,69.82,0.20,2.54,811.3686826
101,18.31,2.10,2.82,40.04,1.72,2.27,3969.947752
102,16.79,1.92,3.36,59.23,0.93,2.24,3100.979317
103,9.87,1.17,3.41,75.55,0.38,2.08,296.5137108
104,12.07,0.65,3.83,50.43,0.24,1.93,1761.793957
105,13.87,1.53,2.76,59.46,0.30,1.59,1911.348967
106,18.33,2.19,3.16,42.78,0.86,1.82,4176.786718
107,13.37,1.07,3.61,39.07,0.96,2.10,1722.206916
108,13.78,1.33,2.54,43.76,0.43,1.22,2128.845154
109,14.60,1.35,2.21,72.28,0.96,1.73,873.473856
110,9.20,0.68,2.91,47.79,0.34,1.55,1165.558805
111,10.71,0.59,2.86,46.15,0.86,2.02,1464.571466
112,16.55,1.42,2.62,76.03,1.15,2.00,774.582415
113,23.85,2.57,1.21,-10.50,2.39,1.34,2.71353485
114,17.62,1.79,2.74,61.75,1.41,2.14,3188.882991
115,19.98,2.14,3.09,46.55,1.84,2.37,6215.259287
116,19.39,1.76,2.73,36.73,1.44,2.10,3770.340881
117,19.38,1.67,2.18,49.64,1.72,2.00,5726.952322
118,11.86,0.94,4.13,65.22,0.32,2.28,1021.84392
119,16.99,1.56,3.06,29.86,0.86,1.61,1510.613559
120,14.83,1.68,2.78,42.27,0.82,1.80,2447.385065
121,13.73,1.01,4.37,86.28,0.52,2.69,113.6731695
122,18.26,1.52,3.21,31.53,1.04,2.15,2124.206372
123,15.81,1.52,2.47,57.97,1.60,2.17,2937.416162
124,11.99,1.23,3.86,29.76,0.33,2.01,699.0347214
125,14.52,1.29,3.39,34.97,1.17,2.03,1623.177748
126,11.39,1.11,3.39,58.45,0.37,2.01,1389.166744
127,11.93,1.22,2.70,34.35,0.63,1.44,1031.528536
128,16.41,1.42,2.75,48.19,1.14,1.80,3541.343025
129,14.76,1.07,3.38,49.63,0.73,1.89,2710.215938
130,14.18,1.64,3.79,55.69,0.98,2.44,2399.872701
131,13.64,1.53,3.40,37.02,0.77,1.74,1598.53106
132,12.73,1.33,2.36,55.95,1.19,1.74,1947.91304
133,10.25,1.40,3.59,52.02,0.39,1.83,1390.007239
134,13.25,1.57,3.46,65.91,0.80,1.98,1249.05983
135,20.54,2.06,2.80,47.15,1.71,2.18,6704.042101
136,11.47,1.14,3.35,69.35,0.64,1.97,717.1732553
137,12.16,0.76,4.22,45.38,1.38,2.82,1849.433674
138,18.16,2.03,2.74,36.43,1.62,1.95,3166.875607
139,9.20,0.85,3.65,62.92,-0.25,1.79,775.5167498
140,8.73,0.61,3.40,46.11,-0.06,1.54,1033.239493
141,13.50,1.44,3.48,47.55,0.63,1.98,2242.55319
142,15.70,1.68,2.59,72.90,1.08,1.83,976.1567657
143,16.00,1.39,2.93,36.56,0.75,1.91,2166.210818
144,20.18,1.98,2.48,69.95,1.29,2.03,2529.45737
145,9.24,0.72,2.63,48.40,0.49,1.43,1192.60491
146,15.02,1.94,3.58,42.68,0.83,2.13,2570.867294
147,12.58,0.97,3.33,66.00,0.06,1.66,1052.009316
