Sample,Por,LogPerm,AI,Brittle,TOC,VR,Production,Prod2Scaled
1,15.91,1.67,3.06,14.05,1.36,1.85,177.381958,1897.657798
2,15.34,1.65,2.60,31.88,1.37,1.79,1479.767778,2745.732996
3,20.45,2.02,3.13,63.67,1.79,2.53,4421.221583,5835.130524
4,11.95,1.14,3.90,58.81,0.40,2.03,1488.317629,2132.237219
5,19.53,1.83,2.57,43.75,1.40,2.11,5261.094919,6282.254735
6,19.47,2.04,2.73,54.37,1.42,2.12,5497.005506,6443.694847
7,12.70,1.30,3.70,43.03,0.45,1.95,1784.266285,2486.771344
8,14.15,1.23,2.53,39.43,0.79,1.54,1943.639213,2868.938662
9,16.18,1.34,3.45,45.79,0.56,1.95,3176.523611,4142.793216
10,20.51,2.48,2.78,28.99,1.78,2.24,2522.792318,4456.805225
11,12.25,1.20,3.64,64.08,0.81,2.44,1215.676438,1987.163237
12,11.59,1.06,3.33,59.32,0.24,1.91,1364.885428,1976.316171
13,18.18,2.02,2.85,24.81,1.17,1.84,1100.000817,2988.580492
14,12.10,1.42,4.10,63.71,0.09,2.12,1166.029442,1924.904504
15,14.68,1.47,2.21,46.02,1.27,1.67,2717.328863,3531.167201
16,9.23,0.81,2.85,69.48,0.69,1.87,511.6087695,918.9753076
17,14.00,1.65,3.83,57.35,1.12,2.32,2249.128389,3064.745624
18,10.24,0.88,2.96,30.03,0.43,1.48,555.8489343,1136.263333
19,15.74,1.20,2.78,40.00,1.49,2.25,2630.724009,3662.318498
20,13.29,1.15,3.04,93.47,0.30,1.94,28.42357329,1309.038775
21,16.57,1.85,2.52,32.16,1.43,1.78,1822.997389,3222.436852
22,17.05,1.69,3.64,47.87,1.17,2.34,3907.976463,4836.485054
23,15.97,1.37,2.88,69.75,0.90,1.81,1350.341147,2767.755217
24,16.37,1.34,2.67,48.01,1.28,2.16,3545.451691,4447.021312
25,10.52,1.07,4.31,39.33,0.13,2.18,1092.833803,1580.822856
26,10.84,0.58,2.64,44.30,0.41,1.41,1386.661653,1854.774181
27,11.72,1.17,3.87,51.55,0.71,2.39,1750.080154,2282.509509
28,11.54,1.10,4.47,37.78,0.67,2.51,1213.281884,1856.039806
29,13.92,1.45,3.54,55.46,0.62,1.89,2252.847709,3052.118117
30,17.02,1.92,3.08,41.88,1.26,2.06,3426.72069,4479.009683
31,16.33,1.50,1.85,26.94,1.44,1.18,1072.505415,2630.150588
32,16.55,1.63,2.99,50.06,0.88,1.68,3597.238553,4518.327489
33,15.39,1.47,3.27,39.65,0.84,2.01,2365.930235,3403.63217
34,13.64,1.38,3.01,50.78,0.86,2.12,2350.805045,3073.392321
35,12.77,1.62,2.77,26.30,1.73,2.01,617.0719968,1645.389226
36,16.75,1.81,2.99,52.38,0.66,1.77,3613.273523,4566.055495
37,13.13,0.92,3.76,30.93,0.67,2.18,928.2848776,1939.306614
38,20.67,1.95,3.16,46.83,2.44,2.82,7141.265029,7866.029772
39,20.11,1.72,2.83,27.93,1.53,2.10,2062.783229,4045.615032
40,9.70,1.13,3.32,46.81,0.44,1.98,1261.443836,1553.947431
41,13.48,1.48,2.90,55.11,0.61,1.82,2135.69704,2887.123308
42,17.47,1.58,2.84,49.93,2.13,2.30,4482.698752,5335.197877
43,14.21,1.51,3.74,68.15,0.74,2.34,1195.5227,2330.940232
44,11.68,0.96,3.87,43.81,0.64,2.09,1584.915142,2154.123244
